N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
55,에코프로머티,"114,100","상승
				6,300",+5.84%,500,"78,810","69,071",25.48,"853,583",-551.21,0.91,
56,DB손해보험,"108,500","하락
				1,000",-0.91%,500,"76,818","70,800",47.95,"80,850",3.97,15.66,
57,아모레퍼시픽,"123,100","하락
				1,300",-1.05%,500,"72,005","58,493",30.14,"154,843",12.49,3.72,
58,현대로템,"63,100","상승
				400",+0.64%,"5,000","68,869","109,142",26.00,"1,839,344",28.03,10.06,
59,TIGER CD금리투자KIS(합성),"55,225","상승
				10",+0.02%,0,"67,111","121,522",0.00,"170,982",N/A,N/A,
60,HD현대마린솔루션,"150,500","하락
				200",-0.13%,500,"66,897","44,450",3.64,"542,665",39.84,71.59,
61,S-Oil,"59,300","상승
				200",+0.34%,"2,500","66,762","112,583",75.94,"92,279",8.13,10.83,
62,한국항공우주,"63,000","상승
				1,300",+2.11%,"5,000","61,409","97,475",34.97,"1,419,273",22.36,14.81,
63,HD현대,"73,700","하락
				1,500",-1.99%,"1,000","58,218","78,993",21.34,"123,425",11.06,3.57,
64,현대차2우B,"162,100",보합0,0.00%,"5,000","57,966","35,759",63.22,"78,374",3.51,N/A,
65,LIG넥스원,"261,000","하락
				8,000",-2.97%,"5,000","57,420","22,000",23.43,"359,399",30.24,17.61,
66,KODEX 200,"34,080","하락
				40",-0.12%,0,"57,357","168,300",30.36,"4,198,206",N/A,N/A,
67,맥쿼리인프라,"11,680","상승
				10",+0.09%,0,"55,938","478,922",11.26,"546,068",N/A,N/A,
68,LG생활건강,"347,000","상승
				4,500",+1.31%,"5,000","54,195","15,618",28.80,"41,635",36.37,2.65,
69,TIGER 미국S&P500,"20,615","하락
				20",-0.10%,0,"53,754","260,750",0.31,"7,133,299",N/A,N/A,
70,한진칼,"80,000","하락
				1,900",-2.32%,"2,500","53,410","66,762",22.28,"51,990",10.97,14.79,
71,미래에셋증권,"8,750","하락
				90",-1.02%,"5,000","52,090","595,316",13.46,"504,591",20.59,2.97,
72,LG디스플레이,"10,170","하락
				60",-0.59%,"5,000","50,850","500,000",20.84,"1,145,203",-2.21,-31.95,
73,LS ELECTRIC,"162,000","상승
				3,800",+2.40%,"5,000","48,600","30,000",22.78,"381,060",21.60,12.61,
74,SKC,"127,100","하락
				800",-0.63%,"5,000","48,131","37,868",16.31,"180,996",-14.84,-17.57,
75,삼성카드,"40,300","상승
				300",+0.75%,"5,000","46,691","115,859",6.85,"38,584",6.85,7.61,
76,엔씨소프트,"212,500","하락
				4,000",-1.85%,500,"46,652","21,954",35.24,"66,298",23.71,6.58,
77,한국타이어앤테크놀로지,"37,400","하락
				1,500",-3.86%,500,"46,329","123,875",38.37,"354,027",3.99,7.85,
78,넷마블,"53,400","하락
				800",-1.48%,100,"45,899","85,954",26.22,"91,077",-211.07,-4.90,
79,코웨이,"62,100",보합0,0.00%,500,"45,830","73,800",60.70,"89,585",8.80,19.03,
80,KODEX KOFR금리액티브(합성),"108,605","상승
				30",+0.03%,0,"45,137","41,561",0.00,"130,036",N/A,N/A,
81,NH투자증권,"13,500","하락
				60",-0.44%,"5,000","44,211","327,492",18.39,"210,816",7.71,7.50,
82,삼양식품,"584,000","하락
				9,000",-1.52%,"5,000","43,993","7,533",14.15,"53,254",21.34,24.81,
83,HD현대미포,"110,000","하락
				5,600",-4.84%,"5,000","43,936","39,942",21.21,"551,155",-60.87,-6.96,
84,한화시스템,"23,200","상승
				2,000",+9.43%,"5,000","43,829","188,919",6.08,"11,082,827",26.30,16.87,
85,두산로보틱스,"67,400","하락
				700",-1.03%,500,"43,689","64,820",3.87,"163,694",-313.49,-6.59,
86,LG유플러스,"9,950","하락
				210",-2.07%,"5,000","43,443","436,611",35.05,"1,132,554",7.86,7.49,
87,효성중공업,"461,500","하락
				500",-0.11%,"5,000","43,033","9,325",13.35,"78,760",31.94,11.29,
88,한국금융지주,"77,200",보합0,0.00%,"5,000","43,020","55,726",41.49,"91,123",5.89,8.81,
89,엘앤에프,"114,300","상승
				8,300",+7.83%,500,"41,487","36,296",20.56,"1,145,454",-10.01,-16.35,
90,삼성증권,"46,450","상승
				150",+0.32%,"5,000","41,480","89,300",30.98,"172,828",6.34,8.54,
91,한미약품,"323,000","상승
				1,500",+0.47%,"2,500","41,380","12,811",18.50,"107,766",22.44,16.01,
92,LG이노텍,"172,100","하락
				2,000",-1.15%,"5,000","40,731","23,667",26.50,"103,597",5.68,12.59,
93,TIGER 미국나스닥100,"130,240","상승
				745",+0.58%,0,"40,140","30,820",0.14,"206,934",N/A,N/A,
94,두산밥캣,"39,850","하락
				250",-0.62%,500,"39,949","100,249",36.27,"485,605",5.12,16.79,
